Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76002062_Web.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/76002062.jpg,602-2153-ND,76002062,Digi International,NETWORKING AC PWR KIT WR11 2ANT,173,0,"40.00000","0","1","-","Active","AC Power Kit","Digi TransPort® WR11"
http://advdownload.advantech.com/productfile/PIS/BB-PS12VLB-INT-MED/Product%20-%20Datasheet/PS12VLB-INT-MED_1517ds20170711034005.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_PS12VLB-INT-MED.jpg,1165-1187-ND,BB-PS12VLB-INT-MED,"B&B SmartWorx, Inc.",NETWORKING PWR SUPPLY 12VDC MED,47,17,"104.01000","0","1","-","Active","Power Supply","-"
http://advdownload.advantech.com/productfile/PIS/BB-855-19724/Product%20-%20Datasheet/IE-MiniMc_1217ds20171129111415.pdf,//media.digikey.com/Photos/B&B%20Electronics/806-39105.jpg,1165-1108-ND,BB-806-39105,"B&B SmartWorx, Inc.",NETWORKING DIN RAIL CLIP,151,5,"3.50000","0","1","-","Active","DIN Rail Clip","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_DRAD35.jpg,1165-1186-ND,BB-DRAD35,"B&B SmartWorx, Inc.",NETWORKING MOUNTING KIT DIN RAIL,236,1,"10.94000","0","1","-","Active","Mounting Kit","-"
https://www.digi.com/pdf/ds-elf-tsm-cable.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_ELF-TSM-CBL-16.jpg,602-2110-ND,ELF-TSM-CBL-16,Digi International,NETWORKING ADAPT CAB LTS/TS SER,165,0,"15.19000","0","1","-","Active","Adapter Cable","ConnectPort® LTS, TS, PortServer® TS"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76000966_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000966.jpg,602-1853-ND,76000966,Digi International,NETWORKING BRACKET WALL MOUNT,101,0,"20.35000","0","1","-","Active","Bracket - Wall Mount","Digi TransPort® WR31"
http://advdownload.advantech.com/productfile/PIS/BB-855-10619/Product%20-%20Datasheet/MiniMc-MiniMc-SFP_0317ds20171129112058.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_806-39xyz%20Series.jpg,1165-1228-ND,BB-806-39629,"B&B SmartWorx, Inc.",NETWORKING PWR CABLE USB MINIMC,500,44,"10.63000","0","1","-","Active","Power Cable","-"
https://www.lantronix.com/wp-content/uploads/pdf/XPress_DR_UG.pdf,//media.digikey.com/Photos/LANTRONIX/500-103.jpg,1829-1019-ND,500-103,"Lantronix, Inc.",NETWORKING CABLE RJ45 TO DB9 6',140,0,"8.00000","0","1","-","Active","Cable","XPress™ DR+"
-,"//media.digikey.com/Photos/B&B%20SmartWorx,%20Inc/BB-TG.30.8113.JPG",1165-1388-ND,BB-TG.30.8113,"B&B SmartWorx, Inc.",NETWORKING ANTENNA LTE TERMINAL,173,128,"22.18000","0","1","-","Active","Antenna","-"
https://www.digi.com/pdf/digi-ix14-ds.pdf,-,602-2291-ND,76002080,Digi International,ACCESSORY KIT - STD POWER SUPPLY,195,0,"69.00000","0","1","Digi® IX14","Active","Accessory Kit","Digi® IX14"
https://www.digi.com/pdf/digi-ix14-ds.pdf,-,602-2292-ND,76002081,Digi International,ACCESSORY KIT - EXT POWER SUPPLY,289,0,"89.00000","0","1","Digi® IX14","Active","Accessory Kit","Digi® IX14"
http://ftp1.digi.com/support/cabling/rj45_8pin_altpin_cisco_rj45_8pin.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000633.jpg,602-1539-ND,76000631,Digi International,NETWORKING ADAPTER CABLE RJ45 6',126,0,"15.96000","0","1","-","Active","Adapter Cable","Cisco, Sun Netra"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76000976_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000976.jpg,602-1942-ND,76000976,Digi International,NETWORKING CONVERTER WR11/WR11XT,73,0,"25.00000","0","1","-","Active","Converter","-"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76002063_Web.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/76002063.jpg,602-2154-ND,76002063,Digi International,NETWORKING AC PWR KIT WR11 2ANT,61,0,"40.00000","0","1","-","Active","AC Power Kit","Digi TransPort® WR11"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76002064_Web.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/76002064.jpg,602-2155-ND,76002064,Digi International,NETWORKING AC PWR KIT WR11 2ANT,42,0,"65.00000","0","1","-","Active","AC Power Kit","Digi TransPort® WR11"
//media.digikey.com/pdf/Data%20Sheets/Lantronix%20PDFs/140-448-R_Web.pdf,//media.digikey.com/Photos/LANTRONIX/140-448-R.jpg,1829-1015-ND,140-448-R,"Lantronix, Inc.",NETWORKING ADAPTER MINI DB9M-M,79,0,"7.95000","0","1","-","Active","Adapter","-"
https://www.digi.com/pdf/digi-transport-lr54.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_78000001.jpg,602-2111-ND,78000001,Digi International,NETWORKING BRACKET KIT FOR LR54,34,0,"12.99000","0","1","-","Active","Bracket Kit","Digi TransPort® LR54"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76000977_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_76000977.jpg,602-1951-ND,76000977,Digi International,NETWORKING BRACKET DIN RAIL,42,0,"20.00000","0","1","-","Active","Bracket - DIN Rail","Digi TransPort® WR31"
http://ftp1.digi.com/support/cabling/90000610_a.pdf,//media.digikey.com/Photos/Digi%20Int%27l%20Photos/76000701.jpg,602-1542-ND,76000701,Digi International,NETWORKING ADAPTER DB9M 4 PK,72,0,"25.00000","0","1","-","Active","Adapter","Digi One®, PortServer® TS"
http://ftp1.digi.com/support/cabling/90000609_a.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_76000700.jpg,602-1541-ND,76000700,Digi International,NETWORKING ADAPTER DB25M 4 PK,37,0,"25.00000","0","1","-","Active","Adapter","Digi One®, PortServer® TS"
http://ftp1.digi.com/support/cabling/90000607_a.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/76000698.JPG,602-1715-ND,76000698,Digi International,NETWORKNG ADAPT TSII DB25M 1=4PC,32,0,"25.00000","0","1","-","Active","Adapter","Digi One®, PortServer® TS"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76000879_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000879.jpg,602-1453-ND,76000879,Digi International,NETWORKING BRACKET HARDWARE INCL,48,0,"30.59000","0","1","-","Active","Bracket - Mounting, Hardware Included","Digi TransPort® WR21"
http://ftp1.digi.com/support/cabling/90000606_a.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/76000697.jpg,602-1540-ND,76000697,Digi International,NETWORKING ADAPTER DB9F 1=4PCS,41,0,"33.00000","0","1","-","Active","Adapter","Digi One®, PortServer® TS"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76002060_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_76002060.JPG,602-2178-ND,76002060,Digi International,NETWORKING AC POWER KIT WR21 STD,10,0,"40.00000","0","1","-","Active","AC Power Kit","Digi TransPort® WR21"
http://ftp1.digi.com/support/documentation/91001023_c.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/76000522.jpg,602-1628-ND,76000522,Digi International,NETWORKING CABL 4 PORT DTE DB25M,30,0,"46.00000","0","1","-","Active","Cable","Digi Neo®, AccelePort® Xp™"
http://ftp1.digi.com/support/documentation/91001023_c.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000528.jpg,602-1537-ND,76000528,Digi International,NETWORKING CABLE FANOUT 4 PORT,16,0,"46.00000","0","1","-","Active","Cable","Digi Neo®, AccelePort® Xp™"
http://ftp1.digi.com/support/cabling/90000613_a.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000671.jpg,602-1615-ND,76000671,Digi International,NETWORKING ADAPTER DB9 FEM 8PK,38,0,"61.00000","0","1","-","Active","Adapter","Digi CM™"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/7602061_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_76002061.JPG,602-2179-ND,76002061,Digi International,NETWORKING AC POWER KIT WR21 EXT,49,0,"65.00000","0","1","-","Active","AC Power Kit","Digi TransPort® WR21"
http://ftp1.digi.com/support/documentation/91001023_c.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000529.jpg,602-1538-ND,76000529,Digi International,NETWORKING CABLE FANOUT 8 PORT,62,0,"76.00000","0","1","-","Active","Cable","Digi Neo®, AccelePort® Xp™"
-,//media.digikey.com/photos/Digi%20Int'l%20Photos/301-9001-01.JPG,602-1626-ND,301-9001-01,Digi International,NETWORKING RACK MOUNT KIT,4,0,"91.00000","0","1","-","Active","Rack Mount Kit","-"
http://ftp1.digi.com/support/documentation/91001023_c.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000561.jpg,602-1708-ND,76000561,Digi International,NETWORKING CONN BOX 8PT DB9M,3,0,"99.00000","0","1","-","Active","Connector Box","Digi Neo®, AccelePort® Xp™"
http://downloads.echelon.com/support/documentation/datashts/78100.pdf,//media.digikey.com/Photos/Echelon%20Photos/78101R.jpg,1499-1075-ND,78101R,Echelon Corporation,NETWORKING POWER SUPPLY 5W,10,0,"19.50000","0","1","-","Active","Power Supply","-"
-,//media.digikey.com/photos/Digi%20Int'l%20Photos/76000958.jpg,602-1949-ND,76000958,Digi International,NETWORKING REPLACEMT BRACKET KIT,18,0,"23.00000","0","1","-","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/60000920-05%20Dwg.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000776.jpg,602-1617-ND,76000776,Digi International,NETWORKING BRACKET HARDWARE 19"",12,0,"23.00000","0","1","-","Active","Bracket - Hardware Included","Digi CM™"
http://ftp1.digi.com/support/cabling/90000608_a.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000699.jpg,602-1716-ND,76000699,Digi International,NETWORKNG ADAPT TSII DB25F 1=4PC,28,0,"25.00000","0","1","-","Active","Adapter","Digi One®, PortServer® TS"
http://ftp1.digi.com/support/documentation/91001023_c.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_76000560.jpg,602-1998-ND,76000560,Digi International,NETWORKING CONN BOX 4PT DB9M,6,0,"76.00000","0","1","-","Active","Connector Box","Digi Neo®, AccelePort® Xp™"
https://www.digi.com/resources/documentation/digidocs/PDFs/90001929.pdf,//media.digikey.com/Photos/Digi%20Int%27l%20Photos/76000931.jpg,602-1725-ND,76000931,Digi International,NETWORKING WIRE HARNESS WVA DEV,6,0,"91.77000","0","1","-","Active","Wire Harness","SIMJ1939-001"
-,-,1165-1231-ND,BB-CP-SDS-NA,"B&B SmartWorx, Inc.",NETWORKING PWR CORD 100D/400D,10,0,"18.06000","0","1","-","Active","Power Cord","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/20800100002_100118287DRW005A.pdf,//media.digikey.com/Photos/Harting/20800100002.jpg,1195-3592-ND,20800100002,HARTING,NETWORKING PANEL MOUNT SET,7,0,"28.79000","0","1","-","Active","Panel Mount","-"
https://www.lantronix.com/wp-content/uploads/pdf/PremierWave-2050_IG.pdf,//media.digikey.com/Photos/LANTRONIX/930-033-R.JPG,1829-1013-ND,930-033-R,"Lantronix, Inc.",NETWORKING ANT 2.4/5GHZ 2.15 DBI,71,0,"7.00000","0","1","-","Active","Antenna","-"
http://advdownload.advantech.com/productfile/PIS/BB-SR30518120-SWH/Product%20-%20Datasheet/DataSheet_SmartFlex_SR300_07122017_email20171214075033.pdf,-,1165-1380-ND,BB-AW-A2458G-FSRPK,"B&B SmartWorx, Inc.",NETWORK ANTENNA WIFI 2.4/5.8GHZ,36,104,"7.68000","0","1","-","Active","Antenna","-"
//media.digikey.com/pdf/Data%20Sheets/Lantronix%20PDFs/ACDIN1001-01_Web.pdf,//media.digikey.com/photos/LANTRONIX/ACDIN1001-01.JPG,1829-1056-ND,ACDIN1001-01,"Lantronix, Inc.",NETWORKING DIN RAIL CLIP UDS10,35,0,"12.00000","0","1","-","Active","DIN Rail Clip","-"
-,//media.digikey.com/Photos/Digi%20Int'l%20Photos/560069.jpg,602-2251-ND,560069,Digi International,NETWORKING BATTERY PACK TEMP,10,0,"15.96000","0","1","-","Active","Battery","-"
//media.digikey.com/pdf/Data%20Sheets/Sierra%20Wireless%20PDFs/2000579_Dwg_20170530.pdf,-,1719-1013-ND,2000579,Sierra Wireless AirLink,POWER ADAPTER FOR RV50/RV50X,87,0,"20.00000","0","1","-","Active","Power Adapter","RV50, RV50X"
//media.digikey.com/pdf/Data%20Sheets/Atop%20Technologies%20PDFs/WMK-315-BLACK_70100000000050G_Dwg.pdf,-,WMK-315-BLACK-ND,WMK-315-BLACK,ATOP Technologies,ALUMINUM WALL MOUNT KIT BLACK FO,20,0,"20.15000","0","1","-","Active","Wall Mount Kit","MB5901 Series"
-,//media.digikey.com/Photos/Digi%20Int'l%20Photos/450052.jpg,602-2250-ND,450052,Digi International,NETWORKING POWER SUPPLY UNIV SW,9,0,"24.38000","0","1","-","Active","Power Supply","-"
-,"//media.digikey.com/Photos/B&B%20SmartWorx,%20Inc/BB-RPS-MO4-M.JPG",1165-1384-ND,BB-RPS-MO4-M,"B&B SmartWorx, Inc.",NETWORKING POWER SUP SMARTSTART,6,16,"24.48000","0","1","-","Active","Power Supply","-"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76002059_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_76002059.JPG,602-2177-ND,76002059,Digi International,NETWORKING DC POWER KIT WR21,28,0,"25.00000","0","1","-","Active","DC Power Kit","Digi TransPort® WR21"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76000808_Web.pdf,-,602-2260-ND,76000808,Digi International,NETWORKING POWER CORD DC 4M,6,0,"25.00000","0","1","-","Active","Power Cord","Digi TransPort® WR44"
-,"//media.digikey.com/Photos/B&B%20SmartWorx,%20Inc/BB-GA.110.101111.JPG",1165-1381-ND,BB-GA.110.101111,"B&B SmartWorx, Inc.",NETWORKING ANTENNA LTE MAGN MNT,12,77,"25.11000","0","1","-","Active","Antenna","-"
-,-,DK-EMG8XXX-ND,DK-EMG8XXX,ATOP Technologies,DIN RAILKIT ACCESSORIES WITH SCR,20,0,"25.25000","0","1","-","Active","DIN Rail Kit","EMG8510 Series"
http://us.idec.com/Common/Download.aspx?d=414761,//media.digikey.com/Photos/IDEC/SX9Z-PMTD04PN02.jpg,1885-1497-ND,SX9Z-PMTD04PN02,IDEC,NETWORKING POWER SUP ETHERNET SW,10,0,"26.00000","0","1","-","Active","Power Supply","Ethernet"
//media.digikey.com/pdf/Data%20Sheets/Lantronix%20PDFs/500-171-R_Web.pdf,//media.digikey.com/Photos/LANTRONIX/500-171-R.jpg,1829-1043-ND,500-171-R,"Lantronix, Inc.",NETWORKING ADAPTR DB25M TO RS485,98,0,"27.00000","0","1","-","Active","Adapter","-"
-,//media.digikey.com/Photos/Digi%20Int'l%20Photos/170011.jpg,602-2249-ND,170011,Digi International,NETWORKING EXTENDER ANTENNA,10,0,"28.00000","0","1","-","Active","Extender","-"
-,//media.digikey.com/Photos/Digi%20Int'l%20Photos/170006.jpg,602-2248-ND,170006,Digi International,NETWORKING ANTENNA CELLULAR,6,0,"28.00000","0","1","-","Active","Antenna","-"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/ASB-6310-DX00-RMK_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/ASB-6310-DX00-RMK.jpg,602-2229-ND,ASB-6310-DX00-RMK,Digi International,NETWORKING MOUNTING KIT REMOTE,70,0,"29.00000","0","1","-","Active","Mounting Kit","-"
https://www.digi.com/pdf/digi-ix14-ds.pdf,-,602-2289-ND,76002078,Digi International,"AC POWER SUPPLY - STANDARD TEMP,",20,0,"49.00000","0","1","Digi® IX14","Active","Power Supply","Digi® IX14"
-,//media.digikey.com/Photos/Laird%20Tech%20Photos/MFG_690-1002-view1.jpg,690-1002-ND,690-1002,Laird - Wireless & Thermal Systems,NETWORKING BRACKET POLE MOUNT,10,0,"64.90000","0","1","-","Active","Bracket","-"
https://www.digi.com/pdf/digi-ix14-ds.pdf,-,602-2290-ND,76002079,Digi International,"AC POWER SUPPLY - EXTENDED TEMP,",50,0,"69.00000","0","1","Digi® IX14","Active","Power Supply","Digi® IX14"
http://advdownload.advantech.com/productfile/PIS/BB-485FPP/Product%20-%20Datasheet/485FPP_3217ds20170814235854.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_485FPP.jpg,1165-1423-ND,BB-485FPP,"B&B SmartWorx, Inc.",NETWORKING SURGE SUPPRESSOR,13,180,"72.10000","0","1","-","Active","Surge Suppressor","-"
-,//media.digikey.com/photos/Omron%20Auto/K32-23209.JPG,Z9660-ND,K32-23209,Omron Automation and Safety,NETWORKING CONVERTER INTERFACE,2,0,"153.09000","0","1","-","Active","Converter","-"
https://www.e-catalog.beldensolutions.com/download/managed/pim/1fb68f9d-6073-4bc9-9b42-958c6b9c0c56/IG_ACA21_ACA22_01_0214_en.pdf?type=attachment,//media.digikey.com/photos/Hirschmann/ACA-21-USB-EEC.jpg,1797-1039-ND,ACA 21-USB EEC,Hirschmann,NETWORKING ADAPT CAB AUTO CONFIG,4,0,"197.72000","0","1","-","Active","Adapter Cable","-"
https://www.anybus.com/docs/librariesprovider7/default-document-library/brochures-datasheets/anybus-master-simulator-datasheet.pdf?sfvrsn=4,-,1976-1060-ND,017509,HMS Networks,DEVICENET MASTER SIMULATOR W/CBL,4,0,"289.30000","0","1","-","Active","Cable Kit","DeviceNet™"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/DIGI_WR54_Preliminary_11-30-18.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_76002084.jpg,602-2281-ND,76002084,Digi International,WR54 ACCESSORY KIT - SINGLE LTE,5,0,"295.00000","0","1","-","Active","Accessory Kit","Digi TransPort® WR54"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/DIGI_WR54_Preliminary_11-30-18.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_76002085.jpg,602-2282-ND,76002085,Digi International,WR54 ACCESSORY KIT - DUAL LTE,3,0,"345.00000","0","1","-","Active","Accessory Kit","Digi TransPort® WR54"
https://www.digi.com/pdf/digi-transport-wr64.pdf,-,602-2255-ND,76002069,Digi International,NETWORKING WR64 ACCESSORY KIT,4,0,"495.00000","0","1","-","Active","Accessory Kit","Digi TransPort® WR64"
https://www.anybus.com/docs/librariesprovider7/default-document-library/brochures-datasheets/anybus-master-simulator-datasheet.pdf?sfvrsn=4,-,1976-1058-ND,017504,HMS Networks,PROFIBUS-DP MASTER SIMULATOR,6,0,"544.50000","0","1","-","Active","Converter","PROFIBUS®"
https://www.anybus.com/docs/librariesprovider7/default-document-library/brochures-datasheets/anybus-master-simulator-datasheet.pdf?sfvrsn=4,-,1976-1059-ND,017505,HMS Networks,PROFIBUS-DPV1 MASTER SIMULATOR,5,0,"1180.31000","0","1","-","Active","Converter","PROFIBUS®"
https://www.anybus.com/docs/librariesprovider7/default-document-library/brochures-datasheets/anybus-master-simulator-datasheet.pdf?sfvrsn=4,-,1976-1061-ND,018410,HMS Networks,DEVICENET MASTER SIMULATOR USB,5,0,"1391.51000","0","1","-","Active","Converter","DeviceNet™"
https://www.anybus.com/docs/librariesprovider7/default-document-library/brochures-datasheets/anybus-master-simulator-datasheet.pdf?sfvrsn=4,-,1976-1062-ND,019920,HMS Networks,CANOPEN MASTER SIMULATOR,5,0,"1406.91000","0","1","-","Active","Converter","CANopen®"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-7331.pdf,//media.digikey.com/Photos/Molex/MFG_1203630001.jpg,WM25200-ND,1203630001,Molex,ETHERCAT JUNCTION BOX; 8 PORT; 2,2,0,"1538.87000","0","1","120363","Active","EtherCAT Junction Box","-"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76000705_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000705.jpg,602-1718-ND,76000705,Digi International,NETWORKING RACK MOUNT 8 RACK 19"",2,0,"106.00000","0","1","-","Obsolete","Rack Mount","Digi CM™"
http://ftp1.digi.com/support/documentation/91001023_c.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000534.jpg,602-1707-ND,76000534,Digi International,NETWORKING CONVERTER ACCELEPORT,3,0,"38.00000","0","1","-","Active","Converter","Digi Neo®, AccelePort® Xp™"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76002065_Web.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/76002065.jpg,602-2152-ND,76002065,Digi International,NETWORKING DC PWR KIT WR11 2ANT,0,0,"40.00000","0","1","-","Active","DC Power Kit","Digi TransPort® WR11"
http://ftp1.digi.com/support/documentation/91001023_c.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000523.jpg,602-1536-ND,76000523,Digi International,NETWORKING CABLE FANOUT 8 PORT,0,0,"76.00000","0","1","-","Active","Cable","Digi Neo®, AccelePort® Xp™"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76000821_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000821.JPG,602-1722-ND,76000821,Digi International,NETWORKING POWER CORD DC 4M,10,0,"10.00000","0","1","-","Active","Power Cord","Digi TransPort® WR21, WR41"
http://advdownload.advantech.com/productfile/PIS/BB-855-10619/Product%20-%20Datasheet/MiniMc-MiniMc-SFP_0317ds20171129112058.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_806-39xyz%20Series.jpg,1165-1208-ND,BB-806-39628,"B&B SmartWorx, Inc.",NETWORKING PWR CABLE USB MINIMC,20,15,"10.63000","0","1","-","Active","Power Cable","-"
//media.digikey.com/pdf/Data%20Sheets/Atop%20Technologies%20PDFs/Power_Adpater_v0.3_2016-11-03.pdf,//media.digikey.com/Photos/ATOP-Technologies/UVE305-0510%5EEU-DC%5E.jpg,UVE305-0510(EU-DC)-ND,UVE305-0510(EU-DC),ATOP Technologies,NETWORKING POWER ADAPTER DC JACK,8,0,"10.75000","0","1","-","Active","Power Adapter","-"
//media.digikey.com/pdf/Data%20Sheets/Atop%20Technologies%20PDFs/Power_Adpater_v0.3_2016-11-03.pdf,//media.digikey.com/Photos/ATOP-Technologies/UV305-0510%5EUS-DC%5E.jpg,UV305-0510(US-DC)-ND,UV305-0510(US-DC),ATOP Technologies,NETWORKING POWER ADAPTER DC JACK,2,0,"10.75000","0","1","-","Active","Power Adapter","-"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76000974_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_76000974.jpg,602-1946-ND,76000974,Digi International,NETWORKING MNT KIT SENSOR WALL,17,0,"12.00000","0","1","Digi Connect®","Active","Mounting Kit","Digi Connect® Sensor"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76000651_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_76000651.jpg,602-2001-ND,76000651,Digi International,NETWORKING TERMINAL POWER SCREW,9,0,"12.00000","0","1","-","Active","Terminal","-"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/301-9000-07_Web.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/301-9000-07.JPG,602-1750-ND,301-9000-07,Digi International,NETWORKING USB CABLE A-B BLK 2M,7,0,"12.00000","0","1","-","Active","USB Cable","-"
//media.digikey.com/pdf/Data%20Sheets/Atop%20Technologies%20PDFs/Power_Adpater_v0.3_2016-11-03.pdf,//media.digikey.com/Photos/ATOP-Technologies/UN315-1212%5EUS-Y%5E.jpg,UN315-1212US-Y-ND,UN315-1212 US-Y,ATOP Technologies,NETWORKING POWER ADAPTER Y TYPE,2,0,"12.09000","0","1","-","Active","Power Adapter","-"
//media.digikey.com/pdf/Data%20Sheets/Atop%20Technologies%20PDFs/Power_Adpater_v0.3_2016-11-03.pdf,//media.digikey.com/Photos/ATOP-Technologies/UNE315-1212%5EEU-Y%5E.jpg,UNE315-1212(EU-Y)-ND,UNE315-1212 (EU-Y),ATOP Technologies,NETWORKING POWER ADAPTER Y TYPE,1,0,"12.09000","0","1","-","Active","Power Adapter","-"
//media.digikey.com/pdf/Data%20Sheets/Atop%20Technologies%20PDFs/Power_Adpater_v0.3_2016-11-03.pdf,//media.digikey.com/Photos/ATOP-Technologies/UN315-1212%5EUS-LDC%5E.jpg,UN315-1212(US-LDC)-ND,UN315-1212 (US-LDC),ATOP Technologies,NETWORKING POWER ADAPTER DC JACK,0,0,"12.09000","0","1","-","Active","Power Adapter","-"
http://advdownload.advantech.com/productfile/PIS/BB-855-19724/Product%20-%20Datasheet/IE-MiniMc_1217ds20171129111415.pdf,//media.digikey.com/Photos/B&B%20Electronics/895-39229.jpg,1165-1107-ND,BB-895-39229,"B&B SmartWorx, Inc.",NETWORKING BRACKET WALL MOUNT,2,3,"16.50000","0","1","-","Active","Bracket - Wall Mount","-"
-,//media.digikey.com/Photos/Echelon%20Photos/78113R.jpg,1499-1076-ND,78113R,Echelon Corporation,NETWORKING POWER SUPPLY 10W,1,0,"22.75000","0","1","-","Active","Power Supply","PL 3120, PL 3150, PL 3170"
-,//media.digikey.com/photos/Digi%20Int'l%20Photos/76000950.jpg,602-1948-ND,76000950,Digi International,NETWORKING RACK MOUNT KIT,3,0,"23.00000","0","1","-","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76000775_Web.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/76000775.jpg,602-1455-ND,76000775,Digi International,NETWORK BRACKET WALL HARDWR INCL,3,0,"30.59000","0","1","-","Active","Bracket - Wall Mount, Hardware Included","Digi TransPort® WR21, WR41"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/WR21_DinRailBracket_Dwg.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000916.jpg,602-1631-ND,76000916,Digi International,NETWORKING BRACKET HARDWARE INCL,4,0,"42.56000","0","1","-","Active","Bracket - Mounting, Hardware Included","Digi TransPort® WR21"
http://ftp1.digi.com/support/cabling/90000616_a.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/76000702.JPG,602-1717-ND,76000702,Digi International,NETWORKING ADAPTER DB9M 8 PK,2,0,"61.00000","0","1","-","Active","Adapter","Digi CM™"
http://www.redlion.net/files/213/6414,//media.digikey.com/Photos/Red%20Lion%20Photos/URMK.jpg,RLC413-ND,URMK,Red Lion Controls,NETWORKING RACK MT UNIVERSAL 19"",1,0,"166.24000","0","1","-","Active","Rack Mount","-"
http://www.atop.com.cn/atop/mw/cufiles/files/download_dm/iapl_dm/CA_Antenna.pdf,//media.digikey.com/Photos/ATOP-Technologies/HG-C150AN.jpg,HG-C150AN-ND,HG-C150AN,ATOP Technologies,NETWORKING CABL 150CM RP-SMA-MAL,10,0,"10.75000","0","1","-","Active","Cable","-"
