Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Composition","Diameter","Melting Point","Flux Type","Wire Gauge","Process","Form","Shelf Life","Shelf Life Start","Storage/Refrigeration Temperature"
http://www.chipquik.com/datasheets/SMD291AX.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/MFG_SMD291AX.jpg,SMD291AX-ND,SMD291AX,Chip Quik Inc.,SOLDER PASTE NO-CLEAN 63/37 5CC,317,0,"14.99000","0","1","-","Active","Solder Paste","Sn63Pb37 (63/37)","-","361°F (183°C)","No-Clean","-","Leaded","Syringe, 0.53 oz (15g), 5cc","12 Months, 6 Months","Date of Manufacture","37°F ~ 46°F (3°C ~ 8°C)"
http://www.chipquik.com/datasheets/TS391AX.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_TS391AX.jpg,TS391AX-ND,TS391AX,Chip Quik Inc.,THERMALLY STABLE SOLDER PASTE NO,113,0,"15.95000","0","1","-","Active","Solder Paste","Sn63Pb37 (63/37)","-","361°F (183°C)","No-Clean","-","Leaded","Syringe, 0.53 oz (15g), 5cc","12 Months","Date of Manufacture","68°F ~ 77°F (20°C ~ 25°C)"
http://www.chipquik.com/datasheets/TS391LT.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_TS391LT.jpg,TS391LT-ND,TS391LT,Chip Quik Inc.,THERMALLY STABLE SOLDER PASTE NO,216,0,"16.95000","0","1","-","Active","Solder Paste","Bi57.6Sn42Ag0.4 (57.6/42/0.4)","-","281°F (138°C)","No-Clean","-","Lead Free","Syringe, 0.53 oz (15g), 5cc","12 Months","Date of Manufacture","68°F ~ 77°F (20°C ~ 25°C)"
"//media.digikey.com/pdf/Data%20Sheets/Multicore%20PDFs/362,366.pdf",//media.digikey.com/Photos/Multicore/MM01006.jpg,82-140-ND,397952,Multicore,HMP 366 3% .022DIA. 23AWG,212,0,"19.84000","0","1","366","Active","Wire Solder","Pb93.5Sn5Ag1.5 (93.5/5/1.5)","0.022"" (0.56mm)","565 ~ 574°F (296 ~ 301°C)","Rosin Activated (RA)","23 AWG, 24 SWG","Leaded","Spool, 8.8 oz (250g)","-","-","-"
http://www.chipquik.com/datasheets/SMD291AX10.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/MFG_SMD291AX10.jpg,SMD291AX10-ND,SMD291AX10,Chip Quik Inc.,SOLDER PASTE NO-CLEAN 63/37 10CC,252,0,"20.95000","0","1","-","Active","Solder Paste","Sn63Pb37 (63/37)","-","361°F (183°C)","No-Clean","-","Leaded","Syringe, 1.23 oz (35g), 10cc","12 Months, 6 Months","Date of Manufacture","37°F ~ 46°F (3°C ~ 8°C)"
http://www.chipquik.com/datasheets/SMDSWLF.020%204OZ.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/SMDSWLF.020%204OZ.JPG,SMDSWLF.0204OZ-ND,SMDSWLF.020 4OZ,Chip Quik Inc.,SLD WIRE NO-CLEAN 96.5/3/.5 4OZ.,122,0,"21.97000","0","1","-","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.020"" (0.51mm)","423 ~ 428°F (217 ~ 220°C)","No-Clean","24 AWG, 25 SWG","Lead Free","Spool, 4 oz (113.40g)","-","-","-"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/3FE451C4CABFAFFD852578790050C190/$File/LOCTITE%20C%20400-EN.pdf,//media.digikey.com/Photos/Multicore/MM00978.jpg,82-117-ND,386844,Multicore,63/37 400 2% .015DIA 27AWG,329,0,"22.01000","0","1","C400","Active","Wire Solder","Sn63Pb37 (63/37)","0.015"" (0.38mm)","361°F (183°C)","No-Clean","27 AWG, 28 SWG","Leaded","Spool, 8.8 oz (250g)","-","-","59°F ~ 86°F (15°C ~ 30°C)"
//media.digikey.com/pdf/Data%20Sheets/Multicore%20PDFs/370%20(WRAP).pdf,//media.digikey.com/Photos/Multicore/MM01019.jpg,82-105-ND,389261,Multicore,60/40 370 3% .015DIA 27AWG,279,0,"29.01000","0","1","370","Active","Wire Solder","Sn60Pb40 (60/40)","0.015"" (0.38mm)","361 ~ 374°F (183 ~ 190°C)","Rosin Activated (RA)","27 AWG, 28 SWG","Leaded","Spool, 8.8 oz (250g)","-","-","-"
"//media.digikey.com/pdf/Data%20Sheets/Multicore%20PDFs/362,366.pdf",//media.digikey.com/Photos/Multicore/MM01007.jpg,82-142-ND,395439,Multicore,HMP 366 3% .050DIA 16AWG,305,0,"30.99000","0","1","366","Active","Wire Solder","Pb93.5Sn5Ag1.5 (93.5/5/1.5)","0.050"" (1.27mm)","565 ~ 574°F (296 ~ 301°C)","Rosin Activated (RA)","16 AWG, 18 SWG","Leaded","Spool, 17.64 oz (500g)","-","-","-"
"//media.digikey.com/pdf/Data%20Sheets/Multicore%20PDFs/362,366.pdf",//media.digikey.com/Photos/Multicore/MM01005.jpg,82-141-ND,395437,Multicore,HMP 366 3% .028DIA 21AWG,128,0,"36.21000","0","1","366","Active","Wire Solder","Pb93.5Sn5Ag1.5 (93.5/5/1.5)","0.028"" (0.71mm)","565 ~ 574°F (296 ~ 301°C)","Rosin Activated (RA)","21 AWG, 22 SWG","Leaded","Spool, 17.64 oz (500g)","-","-","-"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/18CF51B386A96A6E8525768C007205EC/$File/LOCTITE%20C%20502-EN.pdf,//media.digikey.com/Photos/Multicore/MM00973.jpg,82-128-ND,386862,Multicore,63/37 CRYSL 502 2% .032DIA 20AWG,258,0,"36.36000","0","1","C502","Active","Wire Solder","Sn63Pb37 (63/37)","0.032"" (0.81mm)","361°F (183°C)","No-Clean","20 AWG, 21 SWG","Leaded","Spool, 1 lb (454 g)","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Multicore%20PDFs/370%20(WRAP).pdf,//media.digikey.com/Photos/Multicore/MM00993.jpg,82-103-ND,386827,Multicore,60/40 370 3% .032DIA 20AWG,240,0,"36.94000","0","1","370","Active","Wire Solder","Sn60Pb40 (60/40)","0.032"" (0.81mm)","361 ~ 374°F (183 ~ 190°C)","Rosin Activated (RA)","20 AWG, 21 SWG","Leaded","Spool, 17.64 oz (500g)","-","-","-"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/1C4F68DAFD72D2FD852578790051155F/$File/LOCTITE%20C%20511-EN.pdf,//media.digikey.com/Photos/Multicore/733001.jpg,82-111-ND,733001,Multicore,97SC C511 2% .022DIA 22AWG 24SWG,635,0,"48.08000","0","1","C511™","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.022"" (0.56mm)","423°F (217°C)","No-Clean","23 AWG, 24 SWG","Lead Free","Spool, 8.8 oz (250g)","-","-","-"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/3FE451C4CABFAFFD852578790050C190/$File/LOCTITE%20C%20400-EN.pdf,//media.digikey.com/Photos/Multicore/673828.jpg,82-125-ND,673828,Multicore,97SC 400 2% .022DIA 23AWG,168,0,"48.13000","0","1","C400","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.022"" (0.56mm)","423°F (217°C)","No-Clean","23 AWG, 24 SWG","Lead Free","Spool, 8.8 oz (250g)","-","-","59°F ~ 86°F (15°C ~ 30°C)"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/1C4F68DAFD72D2FD852578790051155F/$File/LOCTITE%20C%20511-EN.pdf,//media.digikey.com/Photos/Multicore/796037.jpg,82-109-ND,796037,Multicore,97SC C511 2% .015DIA 27AWG,157,0,"57.36000","0","1","C511™","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.015"" (0.38mm)","423°F (217°C)","Rosin Mildly Activated (RMA)","27 AWG, 28 SWG","Lead Free","Spool, 8.8 oz (250g)","-","-","-"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/3FE451C4CABFAFFD852578790050C190/$File/LOCTITE%20C%20400-EN.pdf,//media.digikey.com/Photos/Multicore/796065.jpg,82-126-ND,796065,Multicore,97SC 400 2% 0.38 DIA,251,0,"57.43000","0","1","C400","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.015"" (0.38mm)","423°F (217°C)","No-Clean","27 AWG, 28 SWG","Lead Free","Spool, 8.8 oz (250g)","-","-","-"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/3FE451C4CABFAFFD852578790050C190/$File/LOCTITE%20C%20400-EN.pdf,//media.digikey.com/Photos/Multicore/MM01879.JPG,82-123-ND,673831,Multicore,97SC 400 2% .048DIA 16AWG,137,0,"70.42000","0","1","C400","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.048"" (1.22mm)","423°F (217°C)","No-Clean","16 AWG, 18 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","59°F ~ 86°F (15°C ~ 30°C)"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/1C4F68DAFD72D2FD852578790051155F/$File/LOCTITE%20C%20511-EN.pdf,//media.digikey.com/Photos/Multicore/MM01955.JPG,82-110-ND,733002,Multicore,97SC C511 2% .032DIA 20AWG,499,0,"75.70000","0","1","C511™","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.032"" (0.81mm)","423°F (217°C)","No-Clean","20 AWG, 21 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","-"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/3FE451C4CABFAFFD852578790050C190/$File/LOCTITE%20C%20400-EN.pdf,//media.digikey.com/Photos/Multicore/673829.jpg,82-124-ND,673829,Multicore,97SC 400 2% .032DIA 20AWG,1358,0,"75.81000","0","1","C400","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.032"" (0.81mm)","423°F (217°C)","No-Clean","20 AWG, 21 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","59°F ~ 86°F (15°C ~ 30°C)"
http://www.chipquik.com/datasheets/SMDSWLF.006 50g.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SMDSWLF_006%5E2050g.jpg,SMDSWLF.00650G-ND,SMDSWLF.006 50G,Chip Quik Inc.,LF SOLDER WIRE 96.5/3/0.5 TIN/SI,29,0,"79.99000","0","1","SMD","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.006"" (0.15mm)","423 ~ 428°F (217 ~ 220°C)","No-Clean, Water Soluble","34 AWG, 38 SWG","Lead Free","Spool, 1.76 oz (50g)","-","-","-"
http://www.chipquik.com/datasheets/SMD291AX250T5.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/MFG_SMD291AX250T5.jpg,SMD291AX250T5-ND,SMD291AX250T5,Chip Quik Inc.,SOLDER PASTE SN63/PB37 250G T5,38,0,"90.95000","0","1","-","Active","Solder Paste","Sn63Pb37 (63/37)","-","361°F (183°C)","No-Clean","-","Leaded","Jar, 8.8 oz (250g)","12 Months, 6 Months","Date of Manufacture","37°F ~ 46°F (3°C ~ 8°C)"
http://www.mgchemicals.com/downloads/catalogs/Solder%20products%20catalog%20Web.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/MFG_4870.jpg,473-1109-ND,4870-18G,MG Chemicals,SOLDER NO-CLEAN 60/40 POCKET PK,144,0,"4.51000","0","1","4870","Active","Wire Solder","Sn60Pb40 (60/40)","0.032"" (0.81mm)","361 ~ 376°F (183 ~ 191°C)","No-Clean","20 AWG, 21 SWG","Leaded","Tube, 0.63 oz (18g)","-","-","-"
http://www.mgchemicals.com/downloads/catalogs/Solder%20products%20catalog%20Web.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/4880-18G.jpg,473-1111-ND,4880-18G,MG Chemicals,SOLDER RA 63/37 .032"" PKT PACK,128,0,"4.51000","0","1","4880","Active","Wire Solder","Sn63Pb37 (63/37)","0.032"" (0.81mm)","361°F (183°C)","Rosin Activated (RA)","20 AWG, 21 SWG","Leaded","Tube, 0.63 oz (18g)","-","-","-"
http://www.chipquik.com/datasheets/SMDSWLF.031%202OZ.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/SMDSWLF.031%202OZ.jpg,SMDSWLF.0312OZ-ND,SMDSWLF.031 2OZ,Chip Quik Inc.,SLD WIRE NO-CLEAN 96.5/3/.5 2OZ.,232,0,"11.55000","0","1","-","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.031"" (0.79mm)","423 ~ 428°F (217 ~ 220°C)","No-Clean","20 AWG, 22 SWG","Lead Free","Spool, 2 oz (56.70g)","-","-","-"
http://www.chipquik.com/datasheets/BARSN99.3CU0.7-8OZ.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/BARSN99.3CU0.7-8OZ.jpg,BARSN99.3CU0.7-8OZ-ND,BARSN99.3CU0.7-8OZ,Chip Quik Inc.,SOLDER BAR SN99.3/CU0.7 8OZ 227G,212,0,"20.85000","0","1","Super Low Dross™","Active","Bar Solder","Sn99.3Cu0.7 (99.3/0.7)","-","441°F (227°C)","-","-","Lead Free","Bar, 0.5 lb (227g)","-","-","-"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/805875D3C93DC516882571870000DAF1/$File/HYDRO-X-EN.pdf,//media.digikey.com/Photos/Multicore/MM00991.jpg,82-134-ND,386820,Multicore,63/37 HYDRO-X 2% .022DIA 23AWG,139,0,"22.34000","0","1","Hydro-X","Active","Wire Solder","Sn63Pb37 (63/37)","0.022"" (0.56mm)","361°F (183°C)","Water Soluble","23 AWG, 24 SWG","Leaded","Spool, 8.8 oz (250g)","-","-","-"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1072,//media.digikey.com/photos/Kester%20Photos/24-6040-0061.jpg,KE1104-ND,24-6040-0061,Kester Solder,SOLDER RA 60/40 14AWG 1LB,139,0,"36.84000","0","1","44","Active","Wire Solder","Sn60Pb40 (60/40)","0.062"" (1.57mm)","361 ~ 374°F (183 ~ 190°C)","Rosin Activated (RA)","14 AWG, 16 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1072,//media.digikey.com/photos/Kester%20Photos/24-6040-0027.jpg,KE1106-ND,24-6040-0027,Kester Solder,SOLDER RA 60/40 20AWG 1LB,131,0,"37.81000","0","1","44","Active","Wire Solder","Sn60Pb40 (60/40)","0.031"" (0.79mm)","361 ~ 374°F (183 ~ 190°C)","Rosin Activated (RA)","20 AWG, 22 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
//media.digikey.com/pdf/Data%20Sheets/Multicore%20PDFs/370%20(WRAP).pdf,//media.digikey.com/Photos/Multicore/MM00992.jpg,82-104-ND,386824,Multicore,60/40 370 3% .024DIA 22AWG,166,0,"38.19000","0","1","370","Active","Wire Solder","Sn60Pb40 (60/40)","0.024"" (0.61mm)","361 ~ 374°F (183 ~ 190°C)","Rosin Activated (RA)","22 AWG, 23 SWG","Leaded","Spool, 17.64 oz (500g)","-","-","-"
https://www.kester.com/downloads?Command=Core_Download&EntryId=958,//media.digikey.com/photos/Kester%20Photos/24-6337-8800.jpg,KE1400-ND,24-6337-8800,Kester Solder,SOLDER NO-CLEAN 20AWG 1LB,209,0,"39.03000","0","1","245","Active","Wire Solder","Sn63Pb37 (63/37)","0.031"" (0.79mm)","361°F (183°C)","No-Clean","20 AWG, 22 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
http://www.chipquik.com/datasheets/BARSN96.5AG3.0CU0.5-8OZ.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/BARSN96.5AG3.0CU0.5-8OZ.jpg,BARSN96.5AG3.0CU0.5-8OZ-ND,BARSN96.5AG3.0CU0.5-8OZ,Chip Quik Inc.,SOLDER BAR SN96.5/AG3.0/CU0.5 8O,205,0,"39.09000","0","1","Super Low Dross™","Active","Bar Solder","Sn96.5Ag3.0Cu0.5 (96.5/3.0/0.5)","-","422 ~ 428°F (217 ~ 220°C)","-","-","Lead Free","Bar, 0.5 lb (227g)","-","-","-"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1051,//media.digikey.com/photos/Kester%20Photos/24-6337-6403.JPG,KE1300-ND,24-6337-6403,Kester Solder,SOLDER WATER SOLUABLE 20AWG 1LB,128,0,"39.48000","0","1","331","Active","Wire Solder","Sn63Pb37 (63/37)","0.031"" (0.79mm)","361°F (183°C)","Water Soluble","20 AWG, 22 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=958,//media.digikey.com/photos/Kester%20Photos/24-6337-8801.jpg,KE1408-ND,24-6337-8801,Kester Solder,SOLDER NO-CLEAN 20AWG 63/37 1LB,224,0,"40.94000","0","1","245","Active","Wire Solder","Sn63Pb37 (63/37)","0.031"" (0.79mm)","361°F (183°C)","No-Clean","20 AWG, 22 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1072,//media.digikey.com/photos/Kester%20Photos/KESTER%20SOLDER-24-6040-0039.jpg,KE1105-ND,24-6040-0039,Kester Solder,SOLDER RA 60/40 18AWG 1LB,109,0,"41.51000","0","1","44","Active","Wire Solder","Sn60Pb40 (60/40)","0.040"" (1.02mm)","361 ~ 374°F (183 ~ 190°C)","Rosin Activated (RA)","18 AWG, 19 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1072,//media.digikey.com/photos/Kester%20Photos/24-6337-0010.JPG,KE1103-ND,24-6337-0010,Kester Solder,SOLDER RA 24AWG 63/37 1LB,107,0,"53.39000","0","1","44","Active","Wire Solder","Sn63Pb37 (63/37)","0.020"" (0.51mm)","361°F (183°C)","Rosin Activated (RA)","24 AWG, 25 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1051,//media.digikey.com/photos/Kester%20Photos/24-6337-6401.jpg,KE1301-ND,24-6337-6401,Kester Solder,SOLDER WATER SOLUABLE 24AWG 1LB,102,0,"53.84000","0","1","331","Active","Wire Solder","Sn63Pb37 (63/37)","0.020"" (0.51mm)","361°F (183°C)","Water Soluble","24 AWG, 25 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1254,//media.digikey.com/Photos/Kester%20Photos/04-6337-0050.JPG,KE1602-ND,04-6337-0050,Kester Solder,SOLDR BAR ULTRAPURE 63/37 1.66LB,618,0,"54.42000","0","1","ULTRAPURE®","Active","Bar Solder","Sn63Pb37 (63/37)","-","361°F (183°C)","-","-","Leaded","Bar, 1.66 lbs (750g)","-","-","-"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1072,//media.digikey.com/photos/Kester%20Photos/KESTER%20SOLDER-%2024-6337-0007.jpg,KE1110-ND,24-6337-0007,Kester Solder,SOLDER RA FLUX 27AWG 63/37 1LB,210,0,"54.91000","0","1","44","Active","Wire Solder","Sn63Pb37 (63/37)","0.015"" (0.38mm)","361°F (183°C)","Rosin Activated (RA)","27 AWG, 28 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1091,//media.digikey.com/photos/Kester%20Photos/24-7068-1402.JPG,KE1123-ND,24-7068-1402,Kester Solder,SOLDER RA .031"" 20AWG 1LB,98,0,"88.90000","0","1","48","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.031"" (0.79mm)","423 ~ 424°F (217 ~ 218°C)","Rosin Activated (RA)","20 AWG, 22 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1091,//media.digikey.com/photos/Kester%20Photos/24-7068-1406.jpg,KE1122-ND,24-7068-1406,Kester Solder,SOLDER RA .025"" 22AWG 1LB,144,0,"94.55000","0","1","48","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.025"" (0.64mm)","423 ~ 424°F (217 ~ 218°C)","Rosin Activated (RA)","22 AWG, 23 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/DesktopModules/Bring2mind/DMX/Download.aspx?Command=Core_Download&EntryId=978&language=en-US&PortalId=0&TabId=96,//media.digikey.com/photos/Kester%20Photos/24-7068-7603.jpg,KE1131-ND,24-7068-7603,Kester Solder,SOLDER NO-CLEAN .020"" 24AWG 1LB,301,0,"95.86000","0","1","275","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.020"" (0.51mm)","423 ~ 424°F (217 ~ 218°C)","No-Clean","24 AWG, 25 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1091,//media.digikey.com/photos/Kester%20Photos/KESTER%20SOLDER-%2024-7068-1401.jpg,KE1121-ND,24-7068-1401,Kester Solder,SOLDER RA .020"" 24AWG 1LB,46,0,"97.46000","0","1","48","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.020"" (0.51mm)","423 ~ 424°F (217 ~ 218°C)","Rosin Activated (RA)","24 AWG, 25 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/DesktopModules/Bring2mind/DMX/Download.aspx?Command=Core_Download&EntryId=978&language=en-US&PortalId=0&TabId=96,-,KE1892-ND,24-7068-7608,Kester Solder,SOLDER 58 .015 27AWG 1LB,49,0,"102.03000","0","1","275","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.015"" (0.38mm)","423 ~ 424°F (217 ~ 218°C)","No-Clean","27 AWG, 28 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1018,-,KE1872-ND,24-6337-9710,Kester Solder,SOLDER 63/37 20AWG 1LB,135,0,"39.40000","0","1","285","Active","Wire Solder","Sn63Pb37 (63/37)","0.031"" (0.79mm)","361°F (183°C)","Rosin Mildly Activated (RMA)","20 AWG, 22 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=3390,//media.digikey.com/Photos/Kester%20Photos/MFG_268-Flux-Cored-Wire.jpg,KE1853-ND,96-7069-9525,Kester Solder,SN96.5AG3.0CU0.5 3.3%/268 .025 5,35,0,"94.80000","0","1","268","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.025"" (0.64mm)","423 ~ 424°F (217 ~ 218°C)","No-Clean","22 AWG, 23 SWG","Lead Free","Spool, 17.64 oz (500g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1051,//media.digikey.com/photos/Kester%20Photos/24-7068-6409.JPG,KE1129-ND,24-7068-6409,Kester Solder,SOLDER WATER SOL .050"" 16AWG 1LB,27,0,"95.93000","0","1","331","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.050"" (1.27mm)","423 ~ 424°F (217 ~ 218°C)","Water Soluble","16 AWG, 18 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1051,//media.digikey.com/photos/Kester%20Photos/24-7068-6417.JPG,KE1127-ND,24-7068-6417,Kester Solder,SOLDER WATER SOL .025"" 22AWG 1LB,38,0,"96.13000","0","1","331","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.025"" (0.64mm)","423 ~ 424°F (217 ~ 218°C)","Water Soluble","22 AWG, 23 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=3390,//media.digikey.com/Photos/Kester%20Photos/MFG_268-Flux-Cored-Wire.jpg,KE1810-ND,96-7069-9520,Kester Solder,SN96.5AG3.0CU0.5 3.3%/268 .020 5,41,0,"99.76000","0","1","268","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.020"" (0.51mm)","423 ~ 424°F (217 ~ 218°C)","No-Clean","24 AWG, 25 SWG","Lead Free","Spool, 17.64 oz (500g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1018,-,KE1898-ND,24-7068-9716,Kester Solder,SOLDER FLUX-CORED/285 .024"" 1LB,31,0,"116.27000","0","1","285","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.040"" (1.02mm)","423 ~ 424°F (217 ~ 218°C)","Rosin Mildly Activated (RMA)","18 AWG, 19 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
http://www.chipquik.com/datasheets/RASW.020 .4OZ.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_RASW.020-.4OZ.JPG,RASW.020.4OZ-ND,RASW.020 .4OZ,Chip Quik Inc.,SOLDER WIRE POCKET PACK 63/37 TI,156,0,"5.81000","0","1","-","Active","Wire Solder","Sn63Pb37 (63/37)","0.020"" (0.51mm)","361°F (183°C)","Rosin Activated (RA)","24 AWG, 25 SWG","Leaded","Tube, 0.4 oz (11.34g)","-","-","-"
http://www.chipquik.com/datasheets/BARSN60PB40-8OZ.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/BARSN60PB40-8OZ.jpg,BARSN60PB40-8OZ-ND,BARSN60PB40-8OZ,Chip Quik Inc.,SOLDER BAR SN60/PB40 8OZ 227G SU,203,0,"13.57000","0","1","Super Low Dross™","Active","Bar Solder","Sn60Pb40 (60/40)","-","361 ~ 370°F (183 ~ 188°C)","-","-","Leaded","Bar, 0.5 lb (227g)","-","-","-"
http://www.chipquik.com/datasheets/BARSN63PB37-8OZ.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/BARSN63PB37-8OZ.jpg,BARSN63PB37-8OZ-ND,BARSN63PB37-8OZ,Chip Quik Inc.,SOLDER BAR SN63/PB37 8OZ 227G SU,200,0,"16.24000","0","1","Super Low Dross™","Active","Bar Solder","Sn63Pb37 (63/37)","-","361°F (183°C)","-","-","Leaded","Bar, 0.5 lb (227g)","-","-","-"
http://www.chipquik.com/datasheets/BARSN63PB37.pdf,-,BARSN63PB37-ND,BARSN63PB37,Chip Quik Inc.,SOLDER BAR SN63/PB37 1LB SUPER L,118,0,"28.47000","0","1","Super Low Dross™","Active","Bar Solder","Sn63Pb37 (63/37)","-","361°F (183°C)","-","-","Leaded","Bar, 1 lb (454g)","-","-","-"
