Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,//media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg,RMCF0402ZT0R00TR-ND,RMCF0402ZT0R00,Stackpole Electronics Inc,RES 0 OHM JUMPER 1/16W 0402,2630000,0,"0.00127","0","10000","Tape & Reel (TR)","RMCF","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,//media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg,RMCF0402ZT0R00CT-ND,RMCF0402ZT0R00,Stackpole Electronics Inc,RES 0 OHM JUMPER 1/16W 0402,2639988,0,"0.10000","0","1","Cut Tape (CT)","RMCF","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,//media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg,RMCF0402ZT0R00DKR-ND,RMCF0402ZT0R00,Stackpole Electronics Inc,RES 0 OHM JUMPER 1/16W 0402,2639988,0,"Digi-Reel","0","1","Digi-Reel®","RMCF","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Yageo%20Renders/0402-(1005-Metric).jpg,311-0.0JRTR-ND,RC0402JR-070RL,Yageo,RES SMD 0 OHM JUMPER 1/16W 0402,83450000,0,"0.00152","0","10000","Tape & Reel (TR)","RC","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Yageo%20Renders/0402-(1005-Metric).jpg,311-0.0JRCT-ND,RC0402JR-070RL,Yageo,RES SMD 0 OHM JUMPER 1/16W 0402,83461530,0,"0.10000","0","1","Cut Tape (CT)","RC","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Yageo%20Renders/0402-(1005-Metric).jpg,311-0.0JRDKR-ND,RC0402JR-070RL,Yageo,RES SMD 0 OHM JUMPER 1/16W 0402,83461530,0,"Digi-Reel","0","1","Digi-Reel®","RC","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Yageo%20Renders/0402-(1005-Metric).jpg,311-0.0LRTR-ND,RC0402FR-070RL,Yageo,RES SMD 0 OHM JUMPER 1/16W 0402,11770000,0,"0.00152","0","10000","Tape & Reel (TR)","RC","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Yageo%20Renders/0402-(1005-Metric).jpg,311-0.0LRCT-ND,RC0402FR-070RL,Yageo,RES SMD 0 OHM JUMPER 1/16W 0402,11770895,0,"0.10000","0","1","Cut Tape (CT)","RC","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Yageo%20Renders/0402-(1005-Metric).jpg,311-0.0LRDKR-ND,RC0402FR-070RL,Yageo,RES SMD 0 OHM JUMPER 1/16W 0402,11781095,0,"Digi-Reel","0","1","Digi-Reel®","RC","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
//media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/RC1005JyyyCS_Spec.pdf,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200402(1005%20Metric).jpg,1276-3480-2-ND,RC1005J000CS,Samsung Electro-Mechanics,RES SMD 0 OHM JUMPER 1/16W 0402,23120000,0,"0.00166","0","10000","Tape & Reel (TR)","RC","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
//media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/RC1005JyyyCS_Spec.pdf,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200402(1005%20Metric).jpg,1276-3480-1-ND,RC1005J000CS,Samsung Electro-Mechanics,RES SMD 0 OHM JUMPER 1/16W 0402,23126172,0,"0.10000","0","1","Cut Tape (CT)","RC","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
//media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/RC1005JyyyCS_Spec.pdf,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200402(1005%20Metric).jpg,1276-3480-6-ND,RC1005J000CS,Samsung Electro-Mechanics,RES SMD 0 OHM JUMPER 1/16W 0402,23126422,0,"Digi-Reel","0","1","Digi-Reel®","RC","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,//media.digikey.com/Renders/Stackpole%20Renders/0603.jpg,RMCF0603ZT0R00TR-ND,RMCF0603ZT0R00,Stackpole Electronics Inc,RES 0 OHM JUMPER 1/10W 0603,3115000,0,"0.00188","0","5000","Tape & Reel (TR)","RMCF","Active","0 Ohms","Jumper","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.061"" L x 0.031"" W (1.55mm x 0.80mm)","0.022"" (0.55mm)","2","-"
https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,//media.digikey.com/Renders/Stackpole%20Renders/0603.jpg,RMCF0603ZT0R00CT-ND,RMCF0603ZT0R00,Stackpole Electronics Inc,RES 0 OHM JUMPER 1/10W 0603,3120848,0,"0.10000","0","1","Cut Tape (CT)","RMCF","Active","0 Ohms","Jumper","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.061"" L x 0.031"" W (1.55mm x 0.80mm)","0.022"" (0.55mm)","2","-"
https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,//media.digikey.com/Renders/Stackpole%20Renders/0603.jpg,RMCF0603ZT0R00DKR-ND,RMCF0603ZT0R00,Stackpole Electronics Inc,RES 0 OHM JUMPER 1/10W 0603,3120848,0,"Digi-Reel","0","1","Digi-Reel®","RMCF","Active","0 Ohms","Jumper","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.061"" L x 0.031"" W (1.55mm x 0.80mm)","0.022"" (0.55mm)","2","-"
https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,//media.digikey.com/Renders/Stackpole%20Renders/0805.jpg,RMCF0805ZT0R00TR-ND,RMCF0805ZT0R00,Stackpole Electronics Inc,RES 0 OHM JUMPER 1/8W 0805,1940000,0,"0.00251","0","5000","Tape & Reel (TR)","RMCF","Active","0 Ohms","Jumper","0.125W, 1/8W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2","-"
https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,//media.digikey.com/Renders/Stackpole%20Renders/0805.jpg,RMCF0805ZT0R00CT-ND,RMCF0805ZT0R00,Stackpole Electronics Inc,RES 0 OHM JUMPER 1/8W 0805,1943192,0,"0.10000","0","1","Cut Tape (CT)","RMCF","Active","0 Ohms","Jumper","0.125W, 1/8W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2","-"
https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,//media.digikey.com/Renders/Stackpole%20Renders/0805.jpg,RMCF0805ZT0R00DKR-ND,RMCF0805ZT0R00,Stackpole Electronics Inc,RES 0 OHM JUMPER 1/8W 0805,1943192,0,"Digi-Reel","0","1","Digi-Reel®","RMCF","Active","0 Ohms","Jumper","0.125W, 1/8W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603-(1608-Metric).jpg,311-0.0GRTR-ND,RC0603JR-070RL,Yageo,RES SMD 0 OHM JUMPER 1/10W 0603,44305000,0,"0.00258","0","5000","Tape & Reel (TR)","RC","Active","0 Ohms","Jumper","0.1W, 1/10W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603-(1608-Metric).jpg,311-0.0GRCT-ND,RC0603JR-070RL,Yageo,RES SMD 0 OHM JUMPER 1/10W 0603,44308807,0,"0.10000","0","1","Cut Tape (CT)","RC","Active","0 Ohms","Jumper","0.1W, 1/10W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603-(1608-Metric).jpg,311-0.0GRDKR-ND,RC0603JR-070RL,Yageo,RES SMD 0 OHM JUMPER 1/10W 0603,44313997,0,"Digi-Reel","0","1","Digi-Reel®","RC","Active","0 Ohms","Jumper","0.1W, 1/10W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603-(1608-Metric).jpg,311-0.0HRTR-ND,RC0603FR-070RL,Yageo,RES SMD 0 OHM JUMPER 1/10W 0603,3740000,0,"0.00258","0","5000","Tape & Reel (TR)","RC","Active","0 Ohms","Jumper","0.1W, 1/10W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603-(1608-Metric).jpg,311-0.0HRCT-ND,RC0603FR-070RL,Yageo,RES SMD 0 OHM JUMPER 1/10W 0603,3753597,0,"0.10000","0","1","Cut Tape (CT)","RC","Active","0 Ohms","Jumper","0.1W, 1/10W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603-(1608-Metric).jpg,311-0.0HRDKR-ND,RC0603FR-070RL,Yageo,RES SMD 0 OHM JUMPER 1/10W 0603,3753597,0,"Digi-Reel","0","1","Digi-Reel®","RC","Active","0 Ohms","Jumper","0.1W, 1/10W","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-"
http://www.samsungsem.com/kr/support/product-search/chip-resistor/RC0603F103CS.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200201(0603%20Metric).jpg,1276-3670-2-ND,RC0603F103CS,Samsung Electro-Mechanics,RES SMD 10K OHM 1% 1/20W 0201,4485000,0,"0.00281","0","15000","Tape & Reel (TR)","RC","Active","10 kOhms","±1%","0.05W, 1/20W","Thick Film","Moisture Resistant","±250ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
http://www.samsungsem.com/kr/support/product-search/chip-resistor/RC0603F103CS.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200201(0603%20Metric).jpg,1276-3670-1-ND,RC0603F103CS,Samsung Electro-Mechanics,RES SMD 10K OHM 1% 1/20W 0201,4495722,0,"0.10000","0","1","Cut Tape (CT)","RC","Active","10 kOhms","±1%","0.05W, 1/20W","Thick Film","Moisture Resistant","±250ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
http://www.samsungsem.com/kr/support/product-search/chip-resistor/RC0603F103CS.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200201(0603%20Metric).jpg,1276-3670-6-ND,RC0603F103CS,Samsung Electro-Mechanics,RES SMD 10K OHM 1% 1/20W 0201,4495722,0,"Digi-Reel","0","1","Digi-Reel®","RC","Active","10 kOhms","±1%","0.05W, 1/20W","Thick Film","Moisture Resistant","±250ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
-,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200201(0603%20Metric).jpg,1276-3721-2-ND,RC0603F204CS,Samsung Electro-Mechanics,RES SMD 200K OHM 1% 1/20W 0201,660000,0,"0.00281","0","15000","Tape & Reel (TR)","RC","Active","200 kOhms","±1%","0.05W, 1/20W","Thick Film","Moisture Resistant","±250ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
-,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200201(0603%20Metric).jpg,1276-3721-1-ND,RC0603F204CS,Samsung Electro-Mechanics,RES SMD 200K OHM 1% 1/20W 0201,692530,0,"0.10000","0","1","Cut Tape (CT)","RC","Active","200 kOhms","±1%","0.05W, 1/20W","Thick Film","Moisture Resistant","±250ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
-,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200201(0603%20Metric).jpg,1276-3721-6-ND,RC0603F204CS,Samsung Electro-Mechanics,RES SMD 200K OHM 1% 1/20W 0201,692530,0,"Digi-Reel","0","1","Digi-Reel®","RC","Active","200 kOhms","±1%","0.05W, 1/20W","Thick Film","Moisture Resistant","±250ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200201(0603%20Metric).jpg,311-10NTR-ND,RC0201JR-0710RL,Yageo,RES SMD 10 OHM 5% 1/20W 0201,2130000,0,"0.00305","0","10000","Tape & Reel (TR)","RC","Active","10 Ohms","±5%","0.05W, 1/20W","Thick Film","Moisture Resistant","-100/ +350ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200201(0603%20Metric).jpg,311-10NCT-ND,RC0201JR-0710RL,Yageo,RES SMD 10 OHM 5% 1/20W 0201,2172652,0,"0.10000","0","1","Cut Tape (CT)","RC","Active","10 Ohms","±5%","0.05W, 1/20W","Thick Film","Moisture Resistant","-100/ +350ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200201(0603%20Metric).jpg,311-10NDKR-ND,RC0201JR-0710RL,Yageo,RES SMD 10 OHM 5% 1/20W 0201,2172652,0,"Digi-Reel","0","1","Digi-Reel®","RC","Active","10 Ohms","±5%","0.05W, 1/20W","Thick Film","Moisture Resistant","-100/ +350ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200201(0603%20Metric).jpg,311-33NTR-ND,RC0201JR-0733RL,Yageo,RES SMD 33 OHM 5% 1/20W 0201,990000,0,"0.00305","0","10000","Tape & Reel (TR)","RC","Active","33 Ohms","±5%","0.05W, 1/20W","Thick Film","Moisture Resistant","±200ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200201(0603%20Metric).jpg,311-33NCT-ND,RC0201JR-0733RL,Yageo,RES SMD 33 OHM 5% 1/20W 0201,1007828,0,"0.10000","0","1","Cut Tape (CT)","RC","Active","33 Ohms","±5%","0.05W, 1/20W","Thick Film","Moisture Resistant","±200ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200201(0603%20Metric).jpg,311-33NDKR-ND,RC0201JR-0733RL,Yageo,RES SMD 33 OHM 5% 1/20W 0201,1007828,0,"Digi-Reel","0","1","Digi-Reel®","RC","Active","33 Ohms","±5%","0.05W, 1/20W","Thick Film","Moisture Resistant","±200ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ2GE0R00X+7+WW,//media.digikey.com/Photos/Panasonic%20Photos/ERJ-PA2-Series.jpg,P0.0JTR-ND,ERJ-2GE0R00X,Panasonic Electronic Components,RES SMD 0 OHM JUMPER 1/10W 0402,51300000,0,"0.00309","0","10000","Tape & Reel (TR)","ERJ","Active","0 Ohms","Jumper","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ2GE0R00X+7+WW,//media.digikey.com/Photos/Panasonic%20Photos/ERJ-PA2-Series.jpg,P0.0JCT-ND,ERJ-2GE0R00X,Panasonic Electronic Components,RES SMD 0 OHM JUMPER 1/10W 0402,51293882,0,"0.10000","0","1","Cut Tape (CT)","ERJ","Active","0 Ohms","Jumper","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ2GE0R00X+7+WW,//media.digikey.com/Photos/Panasonic%20Photos/ERJ-PA2-Series.jpg,P0.0JDKR-ND,ERJ-2GE0R00X,Panasonic Electronic Components,RES SMD 0 OHM JUMPER 1/10W 0402,51293882,0,"Digi-Reel","0","1","Digi-Reel®","ERJ","Active","0 Ohms","Jumper","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
http://www.vishay.com/docs/20035/dcrcwe3.pdf,//media.digikey.com/renders/Vishay%20Dale%20Renders/Vishay-CRCW-0402.jpg,541-0.0JTR-ND,CRCW04020000Z0ED,Vishay Dale,RES SMD 0 OHM JUMPER 1/16W 0402,1580000,0,"0.00350","0","10000","Tape & Reel (TR)","CRCW","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
http://www.vishay.com/docs/20035/dcrcwe3.pdf,//media.digikey.com/renders/Vishay%20Dale%20Renders/Vishay-CRCW-0402.jpg,541-0.0JCT-ND,CRCW04020000Z0ED,Vishay Dale,RES SMD 0 OHM JUMPER 1/16W 0402,1586073,0,"0.10000","0","1","Cut Tape (CT)","CRCW","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
http://www.vishay.com/docs/20035/dcrcwe3.pdf,//media.digikey.com/renders/Vishay%20Dale%20Renders/Vishay-CRCW-0402.jpg,541-0.0JDKR-ND,CRCW04020000Z0ED,Vishay Dale,RES SMD 0 OHM JUMPER 1/16W 0402,1586073,0,"Digi-Reel","0","1","Digi-Reel®","CRCW","Active","0 Ohms","Jumper","0.063W, 1/16W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,//media.digikey.com/Renders/Stackpole%20Renders/1206.jpg,RMCF1206ZT0R00TR-ND,RMCF1206ZT0R00,Stackpole Electronics Inc,RES 0 OHM JUMPER 1/4W 1206,1955000,0,"0.00355","0","5000","Tape & Reel (TR)","RMCF","Active","0 Ohms","Jumper","0.25W, 1/4W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2","-"
https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,//media.digikey.com/Renders/Stackpole%20Renders/1206.jpg,RMCF1206ZT0R00CT-ND,RMCF1206ZT0R00,Stackpole Electronics Inc,RES 0 OHM JUMPER 1/4W 1206,1960523,0,"0.10000","0","1","Cut Tape (CT)","RMCF","Active","0 Ohms","Jumper","0.25W, 1/4W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2","-"
https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,//media.digikey.com/Renders/Stackpole%20Renders/1206.jpg,RMCF1206ZT0R00DKR-ND,RMCF1206ZT0R00,Stackpole Electronics Inc,RES 0 OHM JUMPER 1/4W 1206,1960523,0,"Digi-Reel","0","1","Digi-Reel®","RMCF","Active","0 Ohms","Jumper","0.25W, 1/4W","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200201(0603%20Metric).jpg,311-10.0KMTR-ND,RC0201FR-0710KL,Yageo,RES SMD 10K OHM 1% 1/20W 0201,12060000,0,"0.00435","0","10000","Tape & Reel (TR)","RC","Active","10 kOhms","±1%","0.05W, 1/20W","Thick Film","Moisture Resistant","±200ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/RC%20Series%200201(0603%20Metric).jpg,311-10.0KMCT-ND,RC0201FR-0710KL,Yageo,RES SMD 10K OHM 1% 1/20W 0201,12076207,0,"0.10000","0","1","Cut Tape (CT)","RC","Active","10 kOhms","±1%","0.05W, 1/20W","Thick Film","Moisture Resistant","±200ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
